group,n,base_rate,mean_pred,auroc,brier,calibration_error
Technology,9073,0.5153752893199604,0.5496562123298645,0.8988622628034162,0.13237830996513367,0.03428092300990415
Games,18280,0.8619803063457331,0.8190380930900574,0.7971640786719406,0.10236708074808121,-0.04294221325567571
Comics,10807,0.9501249190339595,0.9099072217941284,0.7957733665410776,0.044289667159318924,-0.04021769723983104
Fashion,4336,0.6462177121771218,0.6689549088478088,0.795587199309117,0.17056851089000702,0.022737196670687077
Crafts,2006,0.46859421734795614,0.5671657919883728,0.7940631112530439,0.19504188001155853,0.09857157464041666
Dance,282,0.574468085106383,0.6520805358886719,0.7754115226337448,0.18976974487304688,0.07761245078228884
Publishing,12380,0.7834410339256865,0.835588812828064,0.7659335248726311,0.14448146522045135,0.05214777890237743
Food,3998,0.3144072036018009,0.38007181882858276,0.7658038733548169,0.18202875554561615,0.06566461522678185
Journalism,518,0.3416988416988417,0.35061636567115784,0.763954470898156,0.18266470730304718,0.008917523972316155
Art (baseline),8773,0.7491166077738516,0.7834903001785278,0.7481925993358299,0.15570667386054993,0.03437369240467625
Music,5396,0.6690140845070423,0.737998902797699,0.725568285805573,0.1901802122592926,0.06898481829065672
Film & Video,9813,0.5370426984612249,0.6014007925987244,0.7206196868130423,0.21492314338684082,0.06435809413749949
Photography,1583,0.6424510423247,0.6319424510002136,0.7171650840308397,0.19960276782512665,-0.010508591324486338
Design,9252,0.8477086035451794,0.7631975412368774,0.6964511667811533,0.13404317200183868,-0.08451106230830197
Theater,1063,0.6331138287864534,0.6831868886947632,0.6884520135634549,0.2116689383983612,0.05007305990830979
