group,n,base_rate,mean_pred,auroc,brier,calibration_error
GR,680,0.8147058823529412,0.7470009922981262,0.9013093805512579,0.09410310536623001,-0.06770489005481495
IT,2474,0.6018593371059013,0.5618285536766052,0.8630348443577778,0.14813674986362457,-0.04003078342929611
PL,1156,0.6903114186851211,0.7243533134460449,0.8568628274597108,0.13946543633937836,0.034041894760923785
IE,395,0.7063291139240506,0.7130091190338135,0.8311704362872328,0.13681189715862274,0.006680005109762854
US,54143,0.725541621262213,0.7402702569961548,0.8309068647361286,0.13790203630924225,0.014728635733941786
NL,872,0.713302752293578,0.6840526461601257,0.8300771704180063,0.14354562759399414,-0.029250106133452247
ES,2497,0.6780136163396075,0.6721002459526062,0.8214281516222783,0.15384924411773682,-0.005913370387001349
CA,5304,0.7347285067873304,0.7519162893295288,0.8181240868497426,0.13926589488983154,0.017187782542198438
HK,3531,0.9105069385443217,0.8745562434196472,0.8170354548496959,0.0675632655620575,-0.035950695124674525
MX,1766,0.5622876557191393,0.5854441523551941,0.8167248358170844,0.1743793785572052,0.02315649663605479
DE,2903,0.6135032724767482,0.652249276638031,0.8150226044171944,0.16834552586078644,0.03874600416128282
SG,724,0.7486187845303868,0.7214768528938293,0.8090101780138681,0.14050017297267914,-0.027141931636557426
SI,99,0.5454545454545454,0.6253156065940857,0.8082304526748971,0.1793598085641861,0.07986106113954028
NZ,396,0.7297979797979798,0.7275182604789734,0.8054845907576885,0.1447412073612213,-0.0022797193190063902
(other / baseline),316,0.5379746835443038,0.6622781157493591,0.8026188557614827,0.19560836255550385,0.12430343220505535
GB,11479,0.7681853820019166,0.7626057267189026,0.7974653029840827,0.13512325286865234,-0.005579655283013962
AU,2714,0.7103905674281503,0.7229341268539429,0.7957335582232641,0.15518653392791748,0.01254355942579255
FR,2354,0.7000849617672048,0.7320553660392761,0.7686069817651753,0.1655065268278122,0.03197040427207132
SE,701,0.6747503566333809,0.7251356840133667,0.7657449649493714,0.17476992309093475,0.0503853273799858
BE,402,0.5970149253731343,0.6414645910263062,0.7549897119341564,0.19511352479457855,0.04444966565317188
CH,480,0.5166666666666667,0.6197695136070251,0.7342707174638488,0.22041133046150208,0.10310284694035843
JP,1553,0.8358016741790084,0.7731339335441589,0.7292546602616392,0.132370725274086,-0.06266774063484948
NO,172,0.5813953488372093,0.683887779712677,0.722361111111111,0.22024735808372498,0.10249243087546767
LU,45,0.5777777777777777,0.6913909316062927,0.7186234817813766,0.211495041847229,0.113613153828515
DK,404,0.7054455445544554,0.7320092916488647,0.7132242370632463,0.1812083125114441,0.02656374709440934
