,2010-2014,2015-2017,2018-2020,2021+
log_goal,24876.12109375,61493.22265625,50558.93359375,94660.8359375
duration_days,13531.5556640625,27818.95703125,46105.171875,87305.09375
has_video,20847.22265625,34985.0625,31946.5625,10549.2109375
launch_hour,5785.11669921875,13265.1748046875,15223.279296875,30654.419921875
category_name_Technology,2357.04833984375,5649.08642578125,29260.41796875,13410.7734375
category_name_Comics,422.6051025390625,13431.8134765625,5666.173828125,20525.837890625
launch_month,15728.7431640625,4957.92724609375,8051.47509765625,7523.5302734375
category_name_Games,1825.50830078125,15081.875,10959.53515625,15083.978515625
category_name_Publishing,15004.7001953125,9445.5947265625,3250.4658203125,3527.43798828125
launch_dow,2987.20361328125,5980.8505859375,7108.8603515625,14669.775390625
blurb_readability,10752.0556640625,12251.9794921875,11154.7587890625,14624.2001953125
trend_score,0.0,0.0,10544.2998046875,14581.421875
category_name_Design,2094.37841796875,1280.4942626953125,14134.8330078125,13939.59765625
country_HK,0.0,559.7241821289062,2852.70263671875,12570.7900390625
category_name_Music,10015.337890625,3977.116943359375,3920.00537109375,3772.14111328125
blurb_word_count,6185.4326171875,8684.5263671875,8154.5556640625,9861.87890625
category_name_Food,4534.15771484375,4964.39990234375,9103.39453125,8467.0869140625
category_name_Fashion,3126.18994140625,8094.837890625,3662.96875,1888.6007080078125
category_name_Film & Video,4102.38134765625,4975.3916015625,4997.75146484375,7016.44677734375
category_name_Dance,4175.11669921875,375.87384033203125,162.5420684814453,111.00166320800781
