threshold,precision,recall,f1,tp,fp,tn,fn,predicted_positive_rate,accuracy
0.05,0.7358606472033651,0.9993212957595125,0.8475897509699161,70675,25369,1468,48,0.9844608446084461,0.7394731447314473
0.06,0.7380619151069518,0.9991798990427442,0.8489970985240318,70665,25079,1758,58,0.9813858138581386,0.7423431734317343
0.07,0.740100565681961,0.9989678039675919,0.8502674762159788,70650,24810,2027,73,0.9784747847478474,0.7449466994669947
0.08,0.7418809343752626,0.9987274295490859,0.8513538760087024,70633,24575,2262,90,0.9758917589175892,0.7471812218122181
0.09,0.7439422671723557,0.998472915458903,0.8526167722149441,70615,24305,2532,108,0.972939729397294,0.7497642476424764
0.09999999999999999,0.7458293273040392,0.9981477030103361,0.8537358198485838,70592,24057,2780,131,0.9701619516195162,0.7520705207052071
0.10999999999999999,0.7477160480742735,0.9975538367999095,0.8547526305905729,70550,23804,3033,173,0.9671381713817138,0.7542332923329234
0.12,0.7497847187523256,0.9972286243513425,0.8559829111696382,70527,23536,3301,196,0.9641553915539155,0.7567445674456744
0.13,0.7516311300639659,0.9968892722310988,0.857059499279736,70503,23297,3540,220,0.9614596145961459,0.7589483394833948
0.13999999999999999,0.7535717341089914,0.99639438372241,0.8581362072639815,70468,23044,3793,255,0.9585075850758508,0.7611828618286183
0.14999999999999997,0.7552677010841009,0.995913634885398,0.8590559824368825,70434,22823,4014,289,0.9558938089380894,0.76309963099631
0.15999999999999998,0.7572670353077866,0.9953056290032946,0.860120847767249,70391,22563,4274,332,0.9527880278802788,0.7653239032390324
0.16999999999999998,0.7589905158554612,0.9946410644344839,0.8609825952853052,70344,22337,4500,379,0.949989749897499,0.7671586715867159
0.18,0.7607571100818147,0.9939764998656732,0.8618683602346638,70297,22107,4730,426,0.9471504715047151,0.7690344403444035
0.19,0.7623595810495468,0.9931705385800942,0.8625919512704319,70240,21895,4942,483,0.9443931939319393,0.7706232062320624
0.19999999999999996,0.7640980411372075,0.9922373202494238,0.8633505985408644,70174,21665,5172,549,0.941359163591636,0.7723042230422305
0.20999999999999996,0.7661945974298453,0.9914172192921681,0.8643757512250747,70116,21396,5441,607,0.9380073800738007,0.7744669946699467
0.21999999999999997,0.7677403092704418,0.990540559648205,0.8650243872322035,70054,21193,5644,669,0.9352911029110291,0.7759122591225912
0.22999999999999998,0.7693880242680031,0.9898052967210101,0.865788122963137,70002,20982,5855,721,0.9325953259532596,0.7775420254202542
0.24,0.7710039797594506,0.9888862180620166,0.8664577035531988,69937,20772,6065,786,0.9297765477654777,0.7790282902829029
0.24999999999999994,0.7727333053153134,0.9879247203879926,0.8671784337940065,69869,20549,6288,854,0.9267937679376794,0.7806170561705617
0.25999999999999995,0.7745153522642787,0.9869066640272612,0.8679059935339468,69797,20320,6517,926,0.9237084870848709,0.7822263222632226
0.26999999999999996,0.7762114733654017,0.9856765125913777,0.8684926898854427,69710,20098,6739,1013,0.9205412054120541,0.783610086100861
0.27999999999999997,0.77798761817491,0.9843898024687867,0.8691022352052631,69619,19867,6970,1104,0.917240672406724,0.7850451004510045
0.29,0.7799544470250317,0.982919276614397,0.8697528933375039,69515,19612,7225,1208,0.9135608856088561,0.7865928659286593
0.3,0.7818437799177789,0.9815194491183915,0.8703764074529178,69416,19369,7468,1307,0.9100553505535055,0.7880688806888069
0.30999999999999994,0.7838553153947949,0.9799216662189104,0.8709908505932032,69303,19110,7727,1420,0.9062423124231243,0.7895653956539566
0.31999999999999995,0.7855861583524443,0.9784087213494903,0.871458707219546,69196,18886,7951,1527,0.902849528495285,0.7907646576465764
0.32999999999999996,0.787107505810509,0.9768533574650397,0.8717751348622985,69086,18686,8151,1637,0.8996719967199672,0.7916871668716687
0.33999999999999997,0.789085208156913,0.9750010604753757,0.8722463616871905,68955,18431,8406,1768,0.8957154571545716,0.7929581795817958
0.3499999999999999,0.790917865514547,0.9732618808591265,0.8726664173285748,68832,18196,8641,1891,0.8920459204592046,0.7941061910619106
0.35999999999999993,0.7928185720219689,0.9715651202579076,0.8731375999898342,68712,17956,8881,2011,0.8883558835588355,0.7953362033620336
